BaseDeFallasCodigo;ModelosCodigo;BaseDeFallasFalla;BaseDeFallasSolucion;BaseDeFallasSintomas;BaseDeFallasPropia
1208;10128;Intenta encender;se cambiaron 2 lamparas y encendió ok;enciende entra brillo y se apaga;0
1209;10129;no enciende reparar botonera de funciones;reparar botonera, cambiar transistor salida horizontal original 2SC 5426 se puso un J6810D de samsung funcionan ok;no enciende muerta;0
1210;10130;Enciende solo led power;se cambio el fet 2SK 2508 y la R560 de 22 OHMS 5W y encendió ok ;enciende el led como si estuviera ok pero hay nada;0
1211;10131;no funciona la progamacion automatica y sin audio;"medir el pin 62 del cir. jungla, si hay señal, e cas que no .
chequear el q 203 - c1815
si este tiene fuga, produce dicha falla confudiendo al colega.
cambiar dicho transistor y vuelve todo a la normalidad";"1-sintoniza canales por fracción segundos y se va la imagen.
2-con la pantalla desactivada
se ve el canal seleccionados, pero si audio.
3-si lo pasamos a video, se ve corrida la frecuencia horizontal. ";0
1212;10132;No presenta video;"es una falla muy común en los monitores lcd 710 y 510 falla el ic200 micon (micro y memoria) ""nt68f63lg"". Se coloco una resistencia de 47 o 50 ohms entre pin 5 y 6 del nt68f63lg.";no presenta video cuando se le conecta el cable de señal, pero si si el cable esta desconectado muestra el mensaje que  no esta conectado;0
1213;10133;8 pitillos y no sale imagen;Estaba corrida del slot agp la placa de video;Sin video, no arrancaba;0
1214;10134;Sin buteo;Se le cargaron los drivers del disco RÃ­gido, (o sea se le dio formato con el disk manager de la marca del disco rí­gido;Sin buteo luego del cambio del rígido;0
1215;10135;Sin video;Memorias pinchadas, las cambie y se acabo el problema;Al encenderla se quedaban les led indicadores encendidos y habí­a que presionar el botón de reset y ahí arrancaba,  y muchas veces se colgaba el Xp;0
1216;9918;No imprime;Hay que resetear el chips de la impresora, esto ocurre cuando el contador de copias interno de la impresora llega al lí­mite.;Titilan intermitentes el led rojo y el verde, y sale un cartel que dice que algunas partes internas de la impresora han llegado a su final de su vida útil...;0
1217;5007;Atrasa el reloj en Win98;"Hay que eliminar el controlador horario de Windows. Esto se hace en modo a prueba de fallas/modo seguro, ir a propiedades de mi pc, dispositivos, dispositivos de sistema, y  eliminar o desinstalar el controlador "" Sistema Cmos/reloj en tiempo real, reiniciar, y se restablece el reloj automáticamente";era una pc que estaba encendida las 24 hs. del dia y el reloj de Windows atrasaba 10 minutos por dia, pero al reiniciar la pc tomaba la hora del bios y se restablecía. Sin conección a internet ni red....;0
1218;10136;No arranca;intentar quitar virus si no formatear;posible virus;0
1219;10137;Buscar posible solucion para poder usar los puertos USB en esta maquina;Si Hay una forma de que se puedan usar conexiones USB en esta máquina, hay que poner una tarjeta PCMCIA, para asi agregarle 4 puertos USB a la maquina. El costo de la pieza es mas i.v.a., tambien se detecta falla en tarjeta de memoria asi como en batería.;;0
1220;2800;Pantalla totalmente oscura, apenas vestigio de imagen, hay audio, cambio de canales. sube y baja volumen etc.;Al desconectar la chupa que conecta alta tensión a la pantalla no hay señales de carga.                                             Cambiar la pantalla;Fuga interna de alta tensión;0
1221;10138;Video incorrecto, no balanceado en color;"Al cambiar la resistencia el voltaje del pin 8 se mantuvo de +4v hacia arriba. Al mover el screen se logra obscurecer la pantalla.
Se recobro balance de color.";"Al verificar los voltajes de los amplificadores se encontraron correctos: 148v, 153v y 155v, lo que indica que no es falla de amplificadores y cinescopio.
Al checar brillo con el control de screen se detecto que no baja al mínimo, se sospecho de la línea ABL. Se midio el pin 8 de fly y marco 19v, pero al mover screen bajo el voltaje a -53v lo que indica un defecto en ABL. Se checo la R547 que polariza ABL a B+ de 82K 0.5w y se encontró abierta.
";0
1222;10139;Video normal, pero no hay audio y la barra de volumen se desplaza sin problemas.;"Para solucionar este problema se debe desactivar el modo Turbo que estaba activado, el cual en este modelo no debe de estar habilitado.
Para entrar al modo de servicio se sigue el siguiente procedimiento:
Con la TV conectada a la linea de AC se digita la secuencia en el control remoto MUTE-1-8-2-Power.
Se configura el OPTION BYTE de la siguiente manera:
VIDEO MUTE    ON         HOTEL MODE    OFF
AUDIO         MONO       CATV          STD/HRC/IRC
TURBO         OFF        X-RAY         OFF
ZOOM          NORMAL     V-CHIP        ON
AUTOPOWER     OFF        AV OPTION     AV
AUDIO MUTE    ON         DEMO          OFF
LANGUAGE      ESPAÑOL";Se revisaron las bocinas así como las conexiones y se encontraron correctos lo cual llevo a verificar el circuito Mute y el amplificador los cuales no tenian daño, como no se tenia la información del televisor se tomo como guia a los impresos del chasis, de esta manera notamos que en la terminal 44 de C.I. TDA9377PS/N2/AI1062 había audio y en los pines 28 y 35 no había señal por lo cual se sospecho que estaba desconfigurado el audio en modo de servicio.;0
1223;10140;Fuente conmutada.;"Se soluciono agregando un transformador de 127vca a 12vca a 500ma. El secundario de este transformador lleva una punta a tierra y la otra a la R808 para generar el voltaje de 12v y 5v.
Se desconecta el devanado secundario 6 y 7 del T801.
________________________________________";"En esta fuente se deben cambiar varios componentes que son:
Q804 KSE13009Y, Q805 KTC3203, Q803 KSC2500B y Q801 MPSA92, filtros C806 100mf 160v y el zener de avalancha de 130v R2KY.
Una vez remplazadas las partes, la fuente debe entregar 103v de B+ y un voltaje secundario de 12v . Este voltaje de 12v sale bajo, en menos de 7v por falla del transformador.";0
1224;10141;falta alimentacion malfuncionamiento de la fuente interna;se cambio lm 358 de montaje superficial en la parte posterior de la motherboard cerca de el conector de alimentación;notebook muerta;0
1225;10142;No detecta Sim;CAMBIO DE FLEX;PIDE QUE INSERTE TARJETA SIM;0
1226;10143;Parpadean las luces y no llega a imprimir;"Resetearle el contador interno con el software apropiado, en este caso SSC Service Utility (www.ssclg.com), seleccionamos la opcion \""reset counter\"" esperamos un poco y apagamos la impresora. Al encenderla debe volver a funcionar.";Al encenderla comienzan a parpadear las luces de la impresora y de hay no pasa. (no imprime tampoco);0
1227;10144;No arranca.;Reparación de Windows y cambio de cable SATA. Instalación de programa de música.;;0
1228;10145;Fallas aleatorias, problema de virus, problemas de refrigeraciÃ³n.;Reinstalación Completa, limpieza de hardware y backup de datos.;;0
1229;10146;No enciende no hace nada;El valor del fusible es de 4 amp por 184 grados. No se consigue de este valor y se coloca uno de 10 amp por 228 grados y arranco bien.;Al conectar y encender no presenta voltaje. Se revisan la corriente de entrada y si existe voltaje pero no pasa de la fuente hacia la resistencia se prueba en serie y el bombillo enciende hasta antes de la resistencia. se mide el microfusible que esta dentro de la resistencia y esta abierto.;0
1230;10147;Se apaga entre 10 y 30 minutos;Se desconecta todo el panel frontal solo se deja el PWR  y se resoldan todas las soldaduras frias. Se dejo en prueba mas de cuatro horas y no se apago. Se entrega en esas condiciones.;panel frontal desajustado todo y muchas soldaduras frias;0
1231;9736;Exceso de brillo, letras difusas, a veces se apaga;1)Patas internas del conect. AC desprendidas. corregida 2)Dispos. Interrup partido. Cambio del dispos. del interruptor    3)Restaurac. del circuito Abl(  G1 y G2 de toda la placa Socket,) previa revisión en movimiento con seÃ±al intermitente del ABL. corregido.;;0
1232;423;genera ruido como de chispa de corto circuito;se encuentran D605 y D606 ref D2S 09 invertido en corto, se reemplazan por FR 105.  tambien fusible de entrada AC abierto, 6.3A, se reemplaza por 4A y D613 no esta físicamente en la tarjeta aparece desprendido y extraído. Se coloca un  EGP30D G1 9612;y no prende hay que desconectar inmediatamente;0
1233;10148;No prende,;Se encuentran tres varistores quemados totalmente en la tarjeta del circuito master, no se veian las referencias.. Se reemplazan por sus equivalentes aproximados...se revisan voltajes de salida. ok.;Hubo corto circuito y boto humo;0
1234;10149;Poca memoria, tiene un virus que no deja iniciar,;se actualiza, antivirus Nod32, con la ultima versiona 3836.se desinfecta todo el equipo, con adware y nod32, se actualizan , office 2007, w-live msn, msn yahoo, w-media-player y se reorganizan carpetas que estaban en el sisema c y se pasan para particion D. Se reinstala wxpsp2;varios programas desactualizados. se aumenta a 512M- 266hz procesador de 1.7Gz Intel celeron.;0
1235;10150;No enciende;Se cambian Carbones, Se lubrican bujes, se cambia enchufe quemado, se prueban las velocidades del motor. Se lija la mazorca.  queda ok.;;0
1236;10151;no ejecuta ningun programa genera el mensaje;Se reinstalo wxp y asociados, office xp, nod32. internet 7.0 msn live, y se configuro el moden con metrotel, se instalaron los drivers que no tenian el cd-board, no hay polo tierra no hay regulador de voltaje, solo tiene 256mega ram. se sugiere 512 mínimo.;;0
1237;10152;El sonido sale ronco en todos los canales.;Hubo necesidad de cambiar todos los filtros de la seccion de audio y una resistencia de 100.000 ohm y el integrado de audio-video LA7655N. quedo ok.;al cambiar la R de 100.000 hmo ya daba sonido bien pero solo llegaba a la mitad y en otra mitad hacia arriba declinaba como si estuviera bajandose  el volumen. este problema lo genera el integrado oscilador de audio;0
1238;2742;Se apago y no prendio mas.;Se revisa y se encuentra el flay back reventado, no tiene ref. me recomiendan en el foro 6174V-8004D. tambien el horizontal y el vertical y la resistencia  de 10.000 ohm que va del fly back al abl que estaba quemada. todo se combio y ok.;;0
1239;427;CLIENTE MANIFIESTA SENTIR UNA EXPLOCIÃN DEJO DE FUNCIONAR;RECAMBIO IC 601 FUENTE , VDR602 , SALIDA HORIZ.,D690 FUENTE Y RESISTENCIA R.607,611,612,613,610,692 Y 602 , CONDENSADORES C.612,615,612 Y 613 MCHOS DE ESTOS SE CAMBIARON POR PREVENCIÓN ;IC FUENTE MAL , SALIDA HORIZONTAL MAL Y 3 RESISTENCIAS CORTADAS;0
1240;427;NO FUNCIONA;SE RECAMBIA IC 601 FUENTE VDR 602 7 RESISTENCIAS DE FUENTE , 5 CONDENSADORES Y EL  D.690 , ALGUNOS COND. Y RESIST. POR PREVENCIÓN , SALIDA HOR. ;FUENTE DE ALIMENTACIÓN MAL;0
1241;9749;bobinas quemadas;bobinas nuevas y centrado;no funcionan;0
1242;10153;arroja pantalla azul en windows xp sp2;se repara sistema operativo desde consola de recuperación;;0
1243;10099;Sistema operativo corrupto;se reinstala sistema operativo de fabrica;;0
1244;10154;No arranca el sistema operativo;formateo y respaldo de informacion (invertir discos duros).;;0
1245;10155;Cambioo de sistema operativo;Mantenimiento completo es decir requiere formateo el respaldo de la informacion solo quiere las carpetas de mis documentos,menos las música y checar cargador  numero de serie PA2521U-3ACA.;EL SISTEMA OPERATIVO ES WINDOWS VISTA QUIERE QUE LE CAMBIEN A XP Y;0
1246;10156;Prende pero no se ve nada en el monitor;Limpiar o reemplazar memoria Ram.;Prende pero no se ve nada.;0
1247;10025;No se ve cuando prende.;Limpiar o reemplazar las memorias.;No se ve cuando prende.;0
1248;10157;Enciende en forma intermitente.;se cambio el Relay que va a la entrada de la fuente.;"se llega a proteger y,aparece en el display \""Protectec\"".";0
1249;10158;Se requiere configurar equipo nuevo con el estandar.;Se configuro el equipo con el estándar y se traslado la información del equipo antiguo al nuevo.;;0
1250;10159;El equipo esta muy lento;Se realizo Mantenimiento del registro de Windows, optimización del Internet, eliminación de archivos temporales.;;0
1251;10158;Se requiere configurar equipo nuevo con el estandar y trasladar la informaciÃ³n del equipo antiguo al nuevo.;se Configuro e instalo el Equipo;;0
1252;10160;El equipo esta muy lento y posiblemente presenta virus.;Se realizo optimización del sistema operativo y se limpio virus.;;0
1253;10161;El equipo esta muy lento.;se realizo un mantenimiento lógico al equipo, se actualizaron algunos programas y se optimizo su funcionamiento.;;0
1254;10159;El equipo tiene virus, el cual daÃ±o el sector de booteo de Windows.;Se realizo, copia del sector de Booteo de Windows y se elimino todo rastro de virus.;;0
1255;10158;se reuqiere configurar el equipo nuevo con el Estandar y trasferir la informaciÃ³n del antiguo equipo al nuevo.;Se realizo configuración del equipo con el Estándar y se transfirió la información del antiguo equipo al nuevo.;;0
1256;10162;El equipo tiene virus y no se tiene acceos a la cuenta Adminsitrador, para realizar una optimizaciÃ³n completa del equipo.;Se realizo liberación de la contraseña del Administrador y se realizo limpieza de virus, asi como la instalación correcta del Office 2007, por ultimo se optimizo el equipo.;;0
1257;10163;Tiene un virus troyano.;Se realizo Actualización del Antivirus y se se realizo escaneo total del equipo para descartar infección.;;0
1258;10164;El equipo entra a windows de despues se reinicia constantemente.;Se realizo Mantenimiento Lógico del equipo, configurándolo con el Estándar.;;0
1259;10165;Tiene un mensaje de virus al iniciar el sistema.;Se realizo Actualización del Antivirus y se escaneo por completo el equipo para descartar infección en otras areas del sistema operativo.;;0
1260;10166;Sin sonido.;los transistores de salida de audio AD162 se reemplazaron x tip41;se cambiaron los transistores de salida de audio reemplazándolos x tip 41,cambio de ampolletas del dial;0
1261;10167;Sonido a full no controla;cambio de ic eeprom;;0
1262;10168;Perdida de agua;limpieza a fondo del lavavajillas;el lavavajillas gotea agua por la parte inferior;0
1263;10169;No enciende;el problema estaba en un regulador de voltaje de las memorias. ubicado al lado del zócalo del micro entre los bancos de memorias el modelo es 9916H, tiene que entregar 3.3V. y en este caso no lo hacia, entregaba 2.7V con lo cual las memorias no funcionan.;al encender la pc no suena ni siquiera el buzzer. todos los capacitores estan bien, son nuevos, memorias, micro, todo bien;0
1264;10170;NO ENCIENDE NADA, NI SIQUIERA EL PILOTO.;TENÍA EL FUSIBLE QUEMADO, AL CAMBIARLO NO ARRANCA. CAMBIÉ EL REGULADOR STRG6653, NO ARRANCÓ.CAMBIÉ LOS 2 OPTOACOPLADORES Y FUNCIONÓ CORRECTAMENTE.REPASÉ SOLDADURAS EN MICROS Y FUENTE, Y EN LA PLACA DE CROMA,AJUSTÉ EN MODO SERVICE COLORES Y GEOMETRÍA.;;0
1265;10171;PANTALLA EN BLANCO;CAMBIAR FLEX;PANTALLA EN BLANCO,;0
1266;9957;LCD ROTO;CAMBIO DE LCD;LCD ROTO;0
1267;9724;PANTALLA AZUL;CAMBIO DE FLEX;SE ESCUCHA, PERO NOSE VE;0
1268;10172;LCD ROTO;CAMBIO DE DISPLAY;LC ROTO;0
1269;10172;NO MARCA TECLADO;CAMBIAR FLEX DE CAMARA;NO MARCA EL TECLADO, NO ABRE LA CAMARA, NO SE ESCUCHA BIEN EL ALTAVOZ, O NO SE ESCUCHA LA BOCINA;0
1270;10173;LCD ROTO;CAMBIO DE DISPLAY;LCD ROTO;0
1271;1008;No responde al control remoto;Desconectar los 4 pulsadores de control de volumen y cambio de canal y probar el control remoto, es muy probable que ahora funcione, esto es debido a una fuga en algunos de los touch, pues este modelo de tv reconoce a cada touch por un nivel de tensión;No responde al control remoto;0
1272;10174;no gira el cd;se rectifico el lente voltajes y se encontraba bien y haciendo una inspección visual me encontre que el switch del laser estaba abierta una lamina del mismo.;el cd al momento de conectar  y poner un cd lo lee ni la toc, se hicieron pruebas a los motores y estan bien.;0
1273;10175;NO FUNCIONA  O SE PARA AL RATO;CAMBIAR EL  ALIMENTADOR  12 V  6 AMP;;0
1274;10176;Lo apago y queda la imagen..;El rele se queda pegado, debe reemplazarse.;Enciende normal pero no apaga, solo desactiva el OSD y el sonido, pero queda la imagen.;0
1275;10177;no enciende;flyback dañado;parpadea la luz de stand by y no enciende;0
1276;10178;TELEVISOR SE APAGA Y CUANDO ENCIENDE BORROSO;LA BASE DEL TRC ESTA CON SARRO, LIMPIALO O COMBIALO POR OTRO Y TELEVISOR FUNCIONARA BIEN OTRA VES;CUANDO INTENTAS ENCENDERLO EN LAS MAÑANAS CUESTA Q ENCIENDA Y CUANDO LOGRAS ENCENDERLO SE MIRA BORROSO, PERO TRASCURRIDO 1 HORA EL TELEVISOR EMPIEZA A VERSE MEJOR.;0
1277;10179;Sin imagen;"mal ci en placa ysus o zsus
mal el yppd-j014a reemplazo stk795-811";enciende sin imagen y se apaga;0
1278;10180;No responde control remoto,el mismo emite correctamente;Reemplazo de receptor IR. Spectrum;No responde a ordenes del cr;0
1279;10181;No enciende;"Reemplazo T661 en corto;Fuse 1A;C667 seco;al encender faltaba foco, se reemplazo zocalo;el triplicador estaba OK";;0
1280;10182;No enciende.;Fuente baja +97v ok. Se caen los 12v que alimentan al osc. Hor y Vert. al arrancar. +5v al micro OK.Se cambió Tr 7521 y 7523 drivers osc hor y arrancó.Se cambió tranf. HV;;0
1281;10183;Reproduce discos mal, se congela imagen.;Cambio de strip conector placa base a lector.Se reparó botonera play eject;;0
1282;10184;no enciende;Solución : reemplazar dicho condensador.;"Esta es una solución a una falla en el televisor marca LG mod.  CP-14B80H

Síntoma: fuente protege (hace clic clic clic..)

causa : condensador  C 823 en corto.Este condensador va en paralelo con el diodo de +B  112 V
";0
1283;10185;no lee discos compactos;cambiar el lector de laser modelo  KSS212A;no lee cd de musica;0
1284;10186;no lee discos de musica;cambiar lector de laser modelo KSS213B;no lee discos ,cd, de música;0
1285;10187;no lee discos compactos;cambiar el lector laser modelo KSS213B;no lee discos compactos;0
1286;10188;no funciona;"mal transistor de salida horizontal

original j 6916

reemplazo por c 5406";muerto;0
1287;10189;imagen con lluvia;cambio del filtro SAW de fi;causa: filtro SAW de fi;0
1288;7295;no enciende;cambiar la memoria  24c02 grabada.;"Al enchufar se siente un \""click\"" en la fuente, pero al apretar \""power\"", no enciende";0
1289;10190;NO PRENDE;TARJETA ELECTRÃNICA. QUEMADA. SE CAMBIÃ LA TARJETA.;;0
1290;10191;No centrifúga;cambiar la bomba;se reviso la pcb, probe la bomba y no funciono,esta abierto.;0
1291;10192;Reinstalacion del sistema Operativo y Drivers;Terminado el formateado y la instalacion del sistema operativo se procedio a la instalacion de los drivers. cualquier informacion extra escribir a jovenmision@hotmail.com;;0
1292;10193;no presenta video, no bootea;desarmar con cuidado la notebook y una vez que se quito el procesador, resoldar estacion de soldado a aire, el chip nvidia encargado del sorth bridge y video que esta detras del procesador y agregar pasta discipadora para que haga buen contacto con el discipador , manipular com mucho cuidado.;;0
1293;10194;problemas con la placa madre;nnn;se encontro elementos quemados;0
1294;10195;no carga;lo que se debe hacer es quitar el cristal que esta por la parte derecha bien abajo es de 4 pines , en su lugar se coloca un diodo con la rayita hacia abajo y listo, queda cargando otra vez;si al poner el cargador el celular dice no esta cargando y despues de hacerle de todo sigue igual.;0
1295;2322;No enciende.;Cambiar capacitor c 821 (1000uf * 16v).;Al accionar la llave prende el led  de stanby y luego se apaga.   Al medir la fuente por un momento por unos segundos parece funcionar para luego caer a cero. aparentan ser los 2 optos y el integrado str f 6654, pero no es asi.;0
1296;10196;No hace ciclo de lavado;"Solucion dada por alfredo barahona lopez

en la bobina del embrague k esta abajo junto ala polea dela trasmision si no se oye el famoso golpe del embrague es k no sirve se abrio el fusible de dos amperes k trae y o se daño el diodo k puentea la bobina esto lo trae la bobina solo basta sacar una tapita k trae a presion para ver los componentes ahora si se daño el diodo o el fusible esta asiendo k se queme el transistor cuando se daña estos componentes es casi seguro k el embobinado de la bobina no sirva esta bobina estando buena debe de medir en la escala de diodos en un multimetro digital aprox 240 ohmos pero aclaro aki se trabajan 127 volts el capacitor debe de cargar y descargar igual k cualquier cap solo hay k buscar la escala adecuada en el multimetro pero por lo k cuentas creo k son las dos cosas si esta dañado el fusible no se te vaya ocurrir puentearlo con un alambre so pena de dañar mas componentes. 
Solucion comprobada en mi caso fue solo el fusible termico.";AL quere lavar como que quiere iniciar pero antes del minuto se encienden todos los leds y se queda parada, pero si se la envia a centrifugar si lo hace bien;0
1297;10197;Sin sonido;Falta masa en transistor smd numero Q6. Unir con un cable a masa y funcionando.;;0
1298;10198;el CD lee una pieza o 2 y se corre hasta el final;se cambio motor slede es el que daba el problema;se desliza el lente;0
1299;10199;no enciende;reparar fuente varios componentes daÃ±ados DPM001, 2SK 2564, R.27 HOMS 1W y TDA 7267A audio  ;no enciende muerta;0
1300;10200;entra en proteccion;se midieron transistores de salida de audio y mediciones en general se desconecto el IC501 STK350-230 y ya no entro la proteccion se cambio y funciono ok;al encender se apaga entra en proteccion;0
1301;10201;en ocaciones entra imagen distoecionada con ruido y se pasa verticalmente;se resoldo IC vertical,reactivar cinescopio, resoldar placa serv. general;imagen distorcionada con ruido;0
1302;10202;reparar color esta verde, funciones de botonera revicion general;reactivar cinescopio muy bajo el color rojo y azul reparar teclas de funciones;imagen verdosa;0
1303;10203;no tiene  audio;no aparecen los parametros de audio entraron moviendo el parametro OP1 estaba en A1(161) y se ajusto a OP1 E7(231) y aparecieron estos parametros de audio M01 0A(010)61, M02 29(041)61, M03 1B(027)61, M04 12(018)61, M05 05(044)61 y entro el audio ok;se aumenta el volumen y solo aparece el display de volumen;0
1304;10204;no lee los discos;cambiar motores sled, spendle, reparar selector de funciones, control de volumen cambiar ic de audio BA 5415A toca solo un canal;no hay audio, no lee discos;0
1305;10205;pp;;;0
1306;10206;Eje del rotor gastado;Llevar a un tornero para que rellene el eje o cambiar el rotor;Mucho ruido en la zona del motor;0
1307;10207;;;;0
1308;10208;Ruidoso;Cambiar flexible, goma completa y de ser necesario rodamientos pieza de mano;No gira correctamente;0
1309;10207;Mal ajuste del acople eje - motor. Torno colgante NÂº031333;Ajustar el eje flexible, estaÃ±ar la funta del flexible o cambiar el eje flexible;No gira el eje de la pieza de mano;0
1310;10209;Flexible cortado y goma doblada. NÂº de Serie 002;Se cambio flexible, goma completa y rodamientos pieza de mano;;0
1311;10210;Se acciona permanentemente la alarma, aumenta de torque mientras trabajas. No corta una vez apagado del boton de selecciÃ³n manual pedal. Fuete M4 NÂº6721;;;0
1312;10211;No arranca correctamente, juego lateral y fricciÃ³n al girar en rÃ©gimen;Se limpio, se esmerilo el eje, se arreglo el juego lateral y coloco la llave de encendido;;0
1313;10212;No funciona;No funcionaba el pedal, se cambio el potenciometro. En garantÃ­a;;0
1314;10212;Goma y fexible cortado;Se cambio goma y flexible. Se recomienda cambiar pieza de mano;;0
1315;10213;FALLA DE MICROFONO;;SE ESCUCHA LO QUE ME HABLAN PERO CUANDO CONTESTO NO ME ESCUCHAN , Y MI VOS APARECE EN MI AURICULAR COMO ECO;0
1316;10214;se congela la imagen  despues  empezar a verse la pelicula;SUSTITUIR EL LENTE LAZER;se escucha un ruido extraño y queda congelada la imagen es un reproductor portatil LG modelo DP170;0
1317;10214;congela la imagen y se escucha ruido extraño despues de empezar a ver l a pelicula;reemplazo del lente lazer;falla el lente lazer;0
1318;10215;sintonisacion;"nesesito que alguien me colabore
grasias";"cuando sintoniso un canal en el tv este se desintonisa de inmediato entra biem pero se va llendo
ya le cambie el varicap y sigue lo mismo el voltaje del agc esta en 6vcc
revise los diodos cambie los condensadores del agc y nada";0
1319;5293;líneas azules horizontales y espinado a la vez;Me incline por los filtro de deflexión horizontal y encontre c546 y c547 de 220uf/16v con poca capacidad los reemplacé y no tuve más rayas azules ni blancas horizontales, son los capacitores de in y out del regulador ic 501 an7809.;Saque cable del foco y la falla desapareció al ver esto coloque nuevamente el cable del foco y decidí cambiar el zócalo del tubo,la falla siguió.;0
1320;6441;Noblex 16tc698 No enciende;Luego de revisar nuevamente la fuente descubrí que no tenía tensión de alterna en el D807 salida de 125volt por lo cual fue producido por falsos en el choque L804(soldadura en mal estado)la fuente andaba perfecta y en consecuencia el tv anduvo bien. ;"La cuestión es que esta siempre en estanby led encendido, es decir que tengo los 9 volt que dice el plano,procedí a cambiar el integrado SDH209B que está en la fuente y el problema sigue, luego verifique resist. de arranque de 270k en serie estan bien ,cheque resist. R808=4.7k y R185=640ohms y Q805 Q112 los cuales estos componentes van a la pata 10 del micro y estan bien. Levante puente de 125v que salen de la fuente que van al flay back, por si acaso,y me encontre que no le llega los 125v de la fuente.En conclusión no tengo los 125 volt de fuente.Verifique el trafo de fuente estaba en perfecto estado lo saque y medí sus bobinajes están bien. 
";0
1321;10216;TRUENAN LAS BOCINAS Y SE APAGA;SE CAMBIO SALIDA DE AUDIO;SALIDA DE BOCINAS CON VOLTAJE;0
1322;9603;NO PRENDE;SE CAMBIO REGULADOR STR53041,RX3434 DE43HOM Y RX3433 DE15HOM-Q3431 DESTRUIDO SE REMPLZO POR UN C1890-;NO PRENDE;0
1323;10217;NO PRENDE;REULADOR STR53041 EN CORTO Q3431 DESTRUIDO,RX3434 ALTERADA DE 43HOM,RX3435 ABIERTA DE 15HOM,EL Q3431 SE REMPLAZO POR UN C1890 O EL QUE QUIERAN BC548;;0
1324;10218;NO SE VEN CANALES;SE CAMBIO EL VARICAP O SINTONIZADOR;ALTRATAR DE SINTONIZAR CANALES SE VEIA CON MUY BAJA SEÃAL;0
1325;3701;TRABAJA CON DEFICIENTE ENERGIA DE LINEA;SE CAMBIO EL CABLE DE LINEA POR QUE LA CLABIJA ESTABA MUY RECALENTADA Y UNA PATA DE LA MISMA DEMASIADO OXIDO POR SOBLE CALENTAMIENTO,ASI COMO EL CONDENSADOR POR ESTAR ABAJO DE SU CAPACITANCIA;AL ENCENDERLO SE BAJABA MUCHO EL VOLTAJE DEL HORNO,COMO SI TUBIESE UN CORTO.;0
1326;3701;NO APAGA CUANDO SE ABRE LA PUERTA EN FUNCIONAMIENTO, Y NO PRENDE FOCO;SE CAMBIO SWICH, Y EL FOCO ESTABA FUNDIDO;;0
1327;10219;NO OPERA LA FUENTE DEL LADO PRIMARIO Y SECUNDARIO,ENCONTRANDO DAÃOS EN REGULADORES Y LOS INTEGRADOS DE CONVERGENCIA;SE REMPLASO EL REGULADOR STR M6511 REGULADORES SECUNDARIOS,TAMBIEN SE REMPLAZARON LOS INTEGRADOS DE CONVERGENCIA,FUSIBLE DE 5AMP.Y SE AJUSTO CONVERGENCIA;;0
1328;10220;NO HAY VIDEO;SE ENCONTRO INTEGRADO DE VERTICAR REBENTADO,ASI COMO SU ALIMENTACION AFECTADA,SE CAMBIO EL INT. LA7845 Y DIODO RECTIFICADOR DE ALIMENTACION AL MISMO;NO HAY VIDEO,AUDIO OK,CAMBIO DE CANALES OK;0
1329;10221;NO HAY VIDEO;CIRCUITO INTEGRADO DE VERTICAL DAÃADO LA7845,ASI COMO LA ALIMENTACION DEL MISMO;;0
1330;10222;En stand by solamente;cuando paso al segundo trafo T951 que se encuentra en la línea de 220v y el primario estaba cortado,lo que se me ocurrió fue reemplazarlo por uno común de 220v-9v-300mamp.(por no conseguir el original),me respondió todo ok;Lo que hice fue ir a la fuente y logre encontrar un transistor c102 como trans. mide con fuga lo reemplace y nada,verifique el trafo T950 de power y estaba bien ,;0
1331;10223;No ay voltaje de salida;cambie un filtro que se explosiono pero nada que ver sigue igual;el ups prende se estabiliza pero alos 15 segundo emite un mensaje en la pantalla out/put low que significa bajo voltaje de salida y no se porque qisiera q me ayuden con la reparacion  por favor si alguien lee este mensaje que me ayude por favor;0
1332;10224;NO ENTRA AGUA;ENTRA A VECES AGUA Y OTRAS NO SE CAMBIO EL REGULADOR DE AGUA CONSISTENTYE EN UNA BOYA Y UN INTERUPTOR DE 3 BORNES;;0
1333;10225;Se pierde el video, o se congela la pantalla, o se quema la pantalla como si fuera pelicula de cine;abrir la carcasa, desmontar el chip de video, limpiar bien toda la soldadura y proceder a resoldar el socket bga, se utilisan solderballs de 0.03 mm de espesor, hay que conseguir un molde para pocicionar la soldadura y se tiene que alinear con mucha precicion, se suelda y listo!;en varios modelos de apple pasa lo mismo, tal es el caso de laa primera generecion de powerbook g4, todas las g3 ecepto la negra pueden presentar la misma falla, el problema es el chip de video de ati.;0
1334;10226;No prende la Unidad de cd;"Todos los voltajes estaban correctos el micro no enviaba los datos, para que el CI. de laser y servos iniciaran su trabajo.
Despues de descartar el micro por frecuencia y reset se cambio y todo volvio a la normalidad.";No prende la unidad laser ni gira el motor splinder al iniciar la lectura del disco.;0
1335;10227;Despues de instalarle una placa de vga pci-e, comenzo a reiniciarce cuando se le exigia en lo referente a video;La placa vga exigia mayor consumo y la fuente de alimentacion no era suficiente para el nuevo hardware, se cambio la fuente por una de 450 wats.;;0
